country_code,high_income_country,OECD_country,region_code
ABW,1,0,americas
ARG,1,0,americas
ATG,1,0,americas
BHS,1,0,americas
BLZ,0,0,americas
BMU,1,0,americas
BOL,0,0,americas
BRA,0,0,americas
BRB,1,0,americas
CAN,1,1,americas
CHL,1,1,americas
COL,0,0,americas
CRI,0,0,americas
CUB,0,0,americas
CUW,1,0,americas
CYM,1,0,americas
DMA,0,0,americas
DOM,0,0,americas
ECU,0,0,americas
GRD,0,0,americas
GTM,0,0,americas
GUY,0,0,americas
HND,0,0,americas
HTI,0,0,americas
JAM,0,0,americas
KNA,1,0,americas
LCA,0,0,americas
MAF,1,0,americas
MEX,0,1,americas
NIC,0,0,americas
PAN,1,0,americas
PER,0,0,americas
PRI,1,0,americas
PRY,0,0,americas
SLV,0,0,americas
SUR,0,0,americas
SXM,1,0,americas
TCA,1,0,americas
TTO,1,0,americas
URY,1,0,americas
USA,1,1,americas
VCT,0,0,americas
VEN,0,0,americas
VGB,1,0,americas
VIR,1,0,americas
TWN,1,0,east-asia-pacific
ASM,0,0,east-asia-pacific
AUS,1,1,east-asia-pacific
BRN,1,0,east-asia-pacific
CHN,0,0,east-asia-pacific
FJI,0,0,east-asia-pacific
FSM,0,0,east-asia-pacific
GUM,1,0,east-asia-pacific
HKG,1,0,east-asia-pacific
IDN,0,0,east-asia-pacific
JPN,1,1,east-asia-pacific
KHM,0,0,east-asia-pacific
KIR,0,0,east-asia-pacific
KOR,1,1,east-asia-pacific
LAO,0,0,east-asia-pacific
MAC,1,0,east-asia-pacific
MHL,0,0,east-asia-pacific
MMR,0,0,east-asia-pacific
MNG,0,0,east-asia-pacific
MNP,1,0,east-asia-pacific
MYS,0,0,east-asia-pacific
NCL,1,0,east-asia-pacific
NRU,0,0,east-asia-pacific
NZL,1,1,east-asia-pacific
PHL,0,0,east-asia-pacific
PLW,1,0,east-asia-pacific
PNG,0,0,east-asia-pacific
PRK,0,0,east-asia-pacific
PYF,1,0,east-asia-pacific
SGP,1,0,east-asia-pacific
SLB,0,0,east-asia-pacific
THA,0,0,east-asia-pacific
TLS,0,0,east-asia-pacific
TON,0,0,east-asia-pacific
TUV,0,0,east-asia-pacific
VNM,0,0,east-asia-pacific
VUT,0,0,east-asia-pacific
WSM,0,0,east-asia-pacific
ALB,0,0,europe-central-asia
AND,1,0,europe-central-asia
ARM,0,0,europe-central-asia
AUT,1,1,europe-central-asia
AZE,0,0,europe-central-asia
BEL,1,1,europe-central-asia
BGR,0,0,europe-central-asia
BIH,0,0,europe-central-asia
BLR,0,0,europe-central-asia
CHE,1,1,europe-central-asia
CHI,1,0,europe-central-asia
CYP,1,0,europe-central-asia
CZE,1,1,europe-central-asia
DEU,1,1,europe-central-asia
DNK,1,1,europe-central-asia
ESP,1,1,europe-central-asia
EST,1,1,europe-central-asia
FIN,1,1,europe-central-asia
FRA,1,1,europe-central-asia
FRO,1,0,europe-central-asia
GBR,1,1,europe-central-asia
GEO,0,0,europe-central-asia
GIB,1,0,europe-central-asia
GRC,1,1,europe-central-asia
GRL,1,0,europe-central-asia
HRV,1,0,europe-central-asia
HUN,1,1,europe-central-asia
IMN,1,0,europe-central-asia
IRL,1,1,europe-central-asia
ISL,1,1,europe-central-asia
ITA,1,1,europe-central-asia
KAZ,0,0,europe-central-asia
KGZ,0,0,europe-central-asia
LIE,1,0,europe-central-asia
LTU,1,0,europe-central-asia
LUX,1,1,europe-central-asia
LVA,1,1,europe-central-asia
MCO,1,0,europe-central-asia
MDA,0,0,europe-central-asia
MKD,0,0,europe-central-asia
MNE,0,0,europe-central-asia
NLD,1,1,europe-central-asia
NOR,1,1,europe-central-asia
POL,1,1,europe-central-asia
PRT,1,1,europe-central-asia
ROU,0,0,europe-central-asia
RUS,0,0,europe-central-asia
SMR,1,0,europe-central-asia
SRB,0,0,europe-central-asia
SVK,1,1,europe-central-asia
SVN,1,1,europe-central-asia
SWE,1,1,europe-central-asia
TJK,0,0,europe-central-asia
TKM,0,0,europe-central-asia
TUR,0,1,europe-central-asia
UKR,0,0,europe-central-asia
UZB,0,0,europe-central-asia
XKX,0,0,europe-central-asia
ARE,1,0,middle-east-north-africa
BHR,1,0,middle-east-north-africa
DJI,0,0,middle-east-north-africa
DZA,0,0,middle-east-north-africa
EGY,0,0,middle-east-north-africa
IRN,0,0,middle-east-north-africa
IRQ,0,0,middle-east-north-africa
ISR,1,1,middle-east-north-africa
JOR,0,0,middle-east-north-africa
KWT,1,0,middle-east-north-africa
LBN,0,0,middle-east-north-africa
LBY,0,0,middle-east-north-africa
MAR,0,0,middle-east-north-africa
MLT,1,0,europe-central-asia
OMN,1,0,middle-east-north-africa
PSE,0,0,middle-east-north-africa
QAT,1,0,middle-east-north-africa
SAU,1,0,middle-east-north-africa
SYR,0,0,middle-east-north-africa
TUN,0,0,middle-east-north-africa
YEM,0,0,middle-east-north-africa
AFG,0,0,south-asia
BGD,0,0,south-asia
BTN,0,0,south-asia
IND,0,0,south-asia
LKA,0,0,south-asia
MDV,0,0,south-asia
NPL,0,0,south-asia
PAK,0,0,south-asia
AGO,0,0,sub-saharan-africa
BDI,0,0,sub-saharan-africa
BEN,0,0,sub-saharan-africa
BFA,0,0,sub-saharan-africa
BWA,0,0,sub-saharan-africa
CAF,0,0,sub-saharan-africa
CIV,0,0,sub-saharan-africa
CMR,0,0,sub-saharan-africa
COD,0,0,sub-saharan-africa
COG,0,0,sub-saharan-africa
COM,0,0,sub-saharan-africa
CPV,0,0,sub-saharan-africa
ERI,0,0,sub-saharan-africa
ETH,0,0,sub-saharan-africa
GAB,0,0,sub-saharan-africa
GHA,0,0,sub-saharan-africa
GIN,0,0,sub-saharan-africa
GMB,0,0,sub-saharan-africa
GNB,0,0,sub-saharan-africa
GNQ,0,0,sub-saharan-africa
KEN,0,0,sub-saharan-africa
LBR,0,0,sub-saharan-africa
LSO,0,0,sub-saharan-africa
MDG,0,0,sub-saharan-africa
MLI,0,0,sub-saharan-africa
MOZ,0,0,sub-saharan-africa
MRT,0,0,sub-saharan-africa
MUS,0,0,sub-saharan-africa
MWI,0,0,sub-saharan-africa
NAM,0,0,sub-saharan-africa
NER,0,0,sub-saharan-africa
NGA,0,0,sub-saharan-africa
RWA,0,0,sub-saharan-africa
SDN,0,0,sub-saharan-africa
SEN,0,0,sub-saharan-africa
SLE,0,0,sub-saharan-africa
SOM,0,0,sub-saharan-africa
SSD,0,0,sub-saharan-africa
STP,0,0,sub-saharan-africa
SWZ,0,0,sub-saharan-africa
SYC,1,0,sub-saharan-africa
TCD,0,0,sub-saharan-africa
TGO,0,0,sub-saharan-africa
TZA,0,0,sub-saharan-africa
UGA,0,0,sub-saharan-africa
ZAF,0,0,sub-saharan-africa
ZMB,0,0,sub-saharan-africa
ZWE,0,0,sub-saharan-africa
