metric_code,natural_minimum,global_best_all,global_best_female,global_best_male,standard,source_codes,retrieval_dates
NetSecEnrol,0,100,100,100,Both,UNESCO,20200228
NetPrimEnrol,0,100,100,100,Core,UNESCO,20200302
PISAscience,0,87,87,87,HiY,OECD_ed,20200412
PISAmath,0,85.5,85.5,85.5,HiY,OECD_ed,20200412
PISAreading,0,85,85,85,HiY,OECD_ed,20200412
NotStunted,31,97.7,97.7,97.7,Core,JME,20200318
FoodSecure,6,98,98,98,HiY,FAOSTAT,20200321
AdultSurvival,24,96,96,94,Both,UNPD_MPI,20200321
U5Survival,68,100,100,100,Both,UN_IGME,20200307
Contraception,0,85,85,85,Core,UNPD,20200306
NotLowBirWt,40,97,97,97,HiY,"OECD,WB_WDI","20200306,20200306"
WaterInHome,0,100,100,100,Core,WHO_UNICEF_JMP,20200318
BasicSanitation,0,100,100,100,Core,WHO_UNICEF_JMP,20200306
SafeSanitation,0,100,100,100,HiY,WHO_UNICEF_JMP,20200306
AffordHouse,37,97.8,97.8,97.8,HiY,OECD_housing,20200322
NotRelPoor,70,97.5,97.5,97.5,HiY,"LIS,OECD","20200318,20200306"
NotAbsPoor,0,100,100,100,Core,WB_POVCAL,20200306
NotLTUnemploy,0,100,100,100,HiY,OECD_unempl,20200318
