metric_code,natural_minimum,global_best_all,global_best_female,global_best_male,standard,source_codes
NetSecEnrol,0,100,100,100,Both,wb_edstats
AdjNetPrim,0,100,100,100,Core,wb_edstats
PISAscience,0,87,87,87,HiY,oecd
PISAmath,0,83,83,83,HiY,oecd
PISAreading,0,85,85,85,HiY,oecd
NotStunted,31,97.7,97.7,97.7,Core,wb_wdi
FoodSecure,6,99,99,99,HiY,fao
SurvivalTo65,16,93,96,91,Both,wb_hnp
U5Survival,68,100,100,100,Both,wb_wdi
Contraception,0,85,85,85,Core,wb_wdi
NotLowBirWt,40,97,97,97,HiY,"oecd,wb_wdi"
WaterInHome,0,100,100,100,Core,who_unicef
BasicSanitation,0,100,100,100,Core,who_unicef
SafeSanitation,0,100,100,100,HiY,who_unicef
NotRelPoor,70,97,97,97,HiY,"lis,oecd"
NotAbsPoor,0,100,100,100,Core,wb_wdi
NotLTUnemployed,0,100,100,100,HiY,oecd
